epoch=0090 train=2.882400 validation=11.758103 traj_rmse=0.871119 horizon_rmse=0.850146
epoch=0091 train=2.398243 validation=2.484644 traj_rmse=0.871713 horizon_rmse=0.864905
epoch=0092 train=2.410564 validation=2.003566 traj_rmse=0.876744 horizon_rmse=0.870682
epoch=0093 train=5.980797 validation=2.288969 traj_rmse=0.870098 horizon_rmse=0.863267
epoch=0094 train=2.513011 validation=3.556115 traj_rmse=0.886415 horizon_rmse=0.875780
epoch=0095 train=2.404540 validation=2.110657 traj_rmse=0.873654 horizon_rmse=0.863790
epoch=0096 train=2.422133 validation=2.105476 traj_rmse=0.861026 horizon_rmse=0.840700
epoch=0097 train=2.423847 validation=2.106566 traj_rmse=0.887776 horizon_rmse=0.880884
epoch=0098 train=2.079217 validation=1.817819 traj_rmse=0.887775 horizon_rmse=0.880944
epoch=0099 train=3.540985 validation=4.641604 traj_rmse=0.877742 horizon_rmse=0.864286
epoch=0100 train=2.202787 validation=2.260323 traj_rmse=0.865973 horizon_rmse=0.856647
download/flow-matching/dynamics/fix-h24-conv/fix-h24-conv.pt
